label,text,cid
Speculation - Pandemic Duration,will covid end soon,149
Speculation - Pandemic Duration,will covid end,149
Speculation - Pandemic Duration,when covid will be over,149
Speculation - Pandemic Duration,when covid lockdown ends,149
Speculation - Pandemic Duration,will covid go away,149
Speculation - Pandemic Duration,when covid will end,149
Speculation - Pandemic Duration,will covid ever go away,149
Speculation - Pandemic Duration,when covid over,149
Speculation - Pandemic Duration,will covid ever end,149
Speculation - Pandemic Duration,when covid ends,149
Speculation - Pandemic Duration,when covid is over,149
Speculation - Pandemic Duration,how long will we have to keep social distancing,149
Speculation - Pandemic Duration,will covid disappear,149
Speculation - Pandemic Duration,when covid end,149
Speculation - Pandemic Duration,when covid will stop,149
Speculation - Pandemic Duration,will covid be gone by summer,149
Speculation - Pandemic Duration,will covid go away in spring,149
Speculation - Pandemic Duration,will covid die out,149
Speculation - Pandemic Duration,what is the official end date to covid,149
Speculation - Pandemic Duration,how long will we be on lockdown for covid,149
Speculation - Pandemic Duration,how long do you think the covid pandemic will last in america,149
Speculation - Pandemic Duration,when will the covid virus end,149
Speculation - Pandemic Duration,when will covid end and covid 20 start,149
Speculation - Pandemic Duration,is covid likely to be at pandemic proportions for two years,149
Speculation - Pandemic Duration,will covid be gone this year,149
Speculation - Pandemic Duration,how long will social distancing for covid last,149
Speculation - Pandemic Duration,will covid stay and last forever,149
Speculation - Pandemic Duration,when will life get back to normal after the onset of covid,149
Transmission - Demographics: General,who is at higher risk,177
Transmission - Demographics: General,what is the risk of my child becoming sick with covid,177
Transmission - Demographics: General,how likely am i to catch covid,177
Transmission - Demographics: General,are pregnant women more susceptible to the covid virus and will it harm the fetus,177
Transmission - Demographics: General,am i at risk for serious complications from covid if i smoke cigarettes,177
Transmission - Demographics: General,if i vape tobacco or nicotine am i at risk for complications from covid,177
Transmission - Demographics: General,are smokers or vapers at higher risk,177
Transmission - Demographics: General,are kids more at risk,177
Transmission - Demographics: General,is covid especially harmful for pregnant women,177
Transmission - Demographics: General,who is at higher risk for serious illness from covid,177
Transmission - Demographics: General,is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from covid,177
Transmission - Demographics: General,are people with disabilities at higher risk,177
Transmission - Demographics: General,for whom does the covid pose a great threat,177
Transmission - Demographics: General,who is at greater risk of dying from covid,177
Transmission - Demographics: General,how does being a smoker impact covid patient outcomes,177
Transmission - Demographics: General,who is at risk of developing severe illness,177
Transmission - Demographics: General,who is covid killing,177
Transmission - Demographics: General,how much more susceptible are smokers to succumbing to covid,177
Transmission - Demographics: General,is asthma a risk factor for covid,177
Transmission - Demographics: General,is covid dangerous for those who vape,177
Transmission - Demographics: General,who is the most affected by covid,177
Transmission - Demographics: General,is covid more serious if you smoke and do people who vape face the same or less risks,177
Transmission - Demographics: General,is covid killing more liberals or conservatives,177
Transmission - Demographics: General,would atheists be more likely to get covid,177
Transmission - Demographics: General,does a history of smoking tobacco increase ones risk of catching covid,177
Transmission - Demographics: General,is obesity a top risk factor in covid hospitalizations,177
Transmission - Survivability: Surfaces,does covid live on clothes,191
Transmission - Survivability: Surfaces,can covid live on paper,191
Transmission - Survivability: Surfaces,can covid live on hair,191
Transmission - Survivability: Surfaces,was covid found in toilet paper,191
Transmission - Survivability: Surfaces,can covid live on objects,191
Transmission - Survivability: Surfaces,should i clean high touch surfaces,191
Transmission - Survivability: Surfaces,how long does the virus survive on surfaces,191
Transmission - Survivability: Surfaces,is it safe to receive a package from an area where covid has been reported,191
Transmission - Survivability: Surfaces,should i disinfect my groceries,191
Transmission - Survivability: Surfaces,do i need to wash my clothes right after encountering other people,191
Transmission - Survivability: Surfaces,can i get covid from a package sent from china,191
Transmission - Survivability: Surfaces,can you get covid from touching money,191
Transmission - Survivability: Surfaces,how long does covid stay alive on surfaces,191
Transmission - Survivability: Surfaces,am i at risk for covid from mail packages or products,191
Transmission - Survivability: Surfaces,is it safe to receive a package from any area where covid has been reported,191
Transmission - Survivability: Surfaces,does covid live on surfaces,191
Transmission - Survivability: Surfaces,can covid live on surfaces,191
Transmission - Survivability: Surfaces,does covid live on paper,191
Transmission - Survivability: Surfaces,can covid live on clothes,191
Transmission - Survivability: Surfaces,can covid be sent through the mail,191
Transmission - Survivability: Surfaces,how long does covid live on surfaces,191
Transmission - Survivability: Surfaces,can you get covid from packages,191
Transmission - Survivability: Surfaces,how long does the covid virus live for under normal conditions,191
Transmission - Survivability: Surfaces,how long does covid live on produce,191
Nomenclature - Reason for Name,what covid means,45
Nomenclature - Reason for Name,what covid,45
Nomenclature - Reason for Name,why covid name,45
Nomenclature - Reason for Name,what covid stands for,45
Nomenclature - Reason for Name,why covid name,45
Nomenclature - Reason for Name,why covid called covid,45
Nomenclature - Reason for Name,are covid and covid the same,45
Nomenclature - Reason for Name,why is it called a covid,45
Nomenclature - Reason for Name,what is 2019 novel covid,45
Nomenclature - Reason for Name,what is covid disease 2019,45
Nomenclature - Reason for Name,why is the disease being called covid disease 2019,45
Nomenclature - Reason for Name,how is the covid referred to,45
Nomenclature - Reason for Name,what is the acronym covid,45
Nomenclature - Reason for Name,what is covid,45
Nomenclature - Reason for Name,what covid stand for,45
Nomenclature - Reason for Name,why covid called novel,45
Nomenclature - Reason for Name,how covid got its name,45
Nomenclature - Reason for Name,what is covid stand for,45
Nomenclature - Reason for Name,what does the covid part of covid stand for,45
Nomenclature - Reason for Name,in covid what is the meaning of 19 here,45
Nomenclature - Reason for Name,what does covid mean,45
Nomenclature - Reason for Name,where does the word covid come from,45
Nomenclature - Reason for Name,why is covid called a novel virus,45
Reporting - Number of Cases,have covid cases peaked,94
Reporting - Number of Cases,are covid cases dropping,94
Reporting - Number of Cases,have covid deaths peaked,94
Reporting - Number of Cases,is covid getting worse,94
Reporting - Number of Cases,are covid numbers going down,94
Reporting - Number of Cases,has covid peaked,94
Reporting - Number of Cases,have covid numbers going down,94
Reporting - Number of Cases,is covid slowing down,94
Reporting - Number of Cases,have covid cases gone down,94
Reporting - Number of Cases,has covid slowed down,94
Reporting - Number of Cases,are covid cases going down,94
Reporting - Number of Cases,did covid peak,94
Reporting - Number of Cases,are covid cases declining,94
Reporting - Number of Cases,are covid cases decreasing,94
Reporting - Number of Cases,are covid numbers increasing,94
Reporting - Number of Cases,is it true that covid is steadily declining,94
Reporting - Number of Cases,where are we on the covid curve now,94
Reporting - Number of Cases,when will covid reach its peak,94
Societal Response - United States,why covid is worse in us,141
Societal Response - United States,why is the us so far behind other countries with testing,141
Societal Response - United States,why are americans the most affected nation in the world by covid,141
Societal Response - United States,why is the covid fatality rate so high in the us compared to china,141
Societal Response - United States,why does covid spread fast in the usa what makes it worse,141
Societal Response - United States,why is the usa so ill equipped to deal with covid when its supposedly the most advanced nation on earth,141
Societal Response - United States,how come the infection rate of covid is much higher in the u.s. than it is in china even though china is more compact and populous,141
Societal Response - United States,how is the us reaction to the spread of the covid different from chinas,141
Societal Response - United States,why is the us losing to covid despite being a top big rich country,141
Societal Response - United States,the usa has 5% of the worlds population but about 30% of covid cases despite being the richest nation on the planet where did it go wrong,141
Societal Response - United States,why does the united states have more death due to covid than any other nations in the world,141
Societal Response - United States,what is the holdup with the covid tests for the us,141
Societal Response - United States,why is the us struggling so much compared to other countries when it comes to testing for covid,141
Societal Response - United States,why does the usa have more confirmed covid cases than china,141
Societal Response - United States,why have so many people died from covid in the us,141
Societal Response - United States,why does the us have so many infections,141
Societal Response - United States,for what reasons is the us handling the pandemic so poorly,141
Societal Response - United States,how come the us is hit so bad by covid,141
Transmission - Survivability: Temperature,can covid survive in heat,192
Transmission - Survivability: Temperature,can covid live in the freezer,192
Transmission - Survivability: Temperature,does covid die in freezer,192
Transmission - Survivability: Temperature,does covid survive in freezer,192
Transmission - Survivability: Temperature,can covid live in freezer,192
Transmission - Survivability: Temperature,can covid live in heat,192
Transmission - Survivability: Temperature,is there a connection between covid and environment temperature,192
Transmission - Survivability: Temperature,can high or low temperatures kill covid,192
Transmission - Survivability: Temperature,can the heat from a hand dryer kill covid,192
Transmission - Survivability: Temperature,what temperature kills the virus that causes covid,192
Transmission - Survivability: Temperature,does covid survive freezing,192
Transmission - Survivability: Temperature,can covid survive cold,192
Transmission - Survivability: Temperature,does covid die in heat,192
Transmission - Survivability: Temperature,how long will covid survive on items you put in the freezer,192
Transmission - Survivability: Temperature,what is the temperature required to kill covid,192
Transmission - Survivability: Temperature,will high temperatures kill covid,192
Societal Effects - General,how covid will change the world,108
Societal Effects - General,what will be some unexpected outcomes of the 2020 covid pandemic,108
Societal Effects - General,what lessons will the world learn from covid,108
Societal Effects - General,what do you think will be the new normal after covid,108
Societal Effects - General,what needs to change once the covid pandemic is over,108
Societal Effects - General,how will covid affect our generation,108
Societal Effects - General,is it possible that life will not return to normal after covid,108
Societal Effects - General,what are some specific new norms that well see after covid,108
Societal Effects - General,how is the new covid disease going to affect the world,108
Societal Effects - General,will the world go back to normal after the covid is gone,108
Societal Effects - General,post covid how can we rebuild a better society,108
Societal Effects - General,what are 5 things that will never be the same because of covid,108
Societal Effects - General,how do you think is the new normal going to look like in after covid days to come,108
Societal Effects - General,how is life before covid and after covid,108
Societal Effects - General,how is covid changing the world for better and for worse,108
Societal Effects - General,what would be the aftermath of the covid outbreak,108
Societal Effects - Apocalyptic,will covid end the world,99
Societal Effects - Apocalyptic,will covid kill us all,99
Societal Effects - Apocalyptic,will we get through covid,99
Societal Effects - Apocalyptic,is this covid the beginning of the end for america as we know it,99
Societal Effects - Apocalyptic,could covid create world war like conditions,99
Societal Effects - Apocalyptic,are we all going to die of covid,99
Societal Effects - Apocalyptic,could covid wipe out the human race,99
Societal Effects - Apocalyptic,assuming covid is not over will it end the world and humanity,99
Societal Effects - Apocalyptic,is the covid virus a sign of an upcoming apocalypse,99
Societal Effects - Apocalyptic,will covid last until everyone dies and humans go extinct,99
Societal Effects - Apocalyptic,how unlikely is it that covid is the end of humanity as we know it,99
Societal Effects - Apocalyptic,is covid the beginning of the apocalypse,99
